yr,sero,strainID,coord1,coord2,is_missAG
2004,1,00758/04,5.5275603987119215,-2.036709858740316,0
2004,1,00975/04,5.628073245405981,-2.896896143928627,0
2004,1,01420/04,5.15434284391702,-2.7967773743260738,0
2004,1,01604/04,4.658500980431965,-2.8992275055917167,0
2005,1,00743/05,5.06507251773989,-3.0354659298779536,0
2005,1,00744/05,4.140882909916085,-2.1929520906649693,0
2005,1,01040/05,5.0320414392190544,-2.600367676577837,0
2006,1,00007/06,4.276349197197676,-1.5838857534350717,0
2006,1,00113/06,5.171310996925976,-2.90437369949339,0
2006,1,00369/06,4.030222543118923,-2.9135857727557233,0
2006,1,00371/06,5.4419877042655616,-2.9635066963572614,0
2006,1,00411/06,4.655563946538859,-1.923411207800424,0
2006,1,00418/06,4.639366984997068,-1.870582900277847,0
2006,1,00482/06,4.93306268902802,-2.3126701400427625,0
2006,1,00555/06,4.801960341941017,-2.209780535716381,0
2006,1,01001/06,4.296758546206177,-2.2020395281359,0
2006,1,01038/06,4.038002113523057,-1.2478329171857672,0
2006,1,01170/06,4.6711989152808915,-2.6850919006703178,0
2006,1,01332/06,4.894368448085256,-2.3880953876571,0
2006,1,01448/06,5.561127171932897,-2.716768131208396,0
2006,1,01831/06,4.7579098992551545,-2.247082033009984,0
2006,1,01932/06,5.748594388186755,-3.3249615717541414,0
2006,1,01934/06,5.096930556698419,-2.54446534676256,0
2006,1,02050/06,5.056465844457627,-2.0146264830513556,0
2006,1,02193/06,4.918974645754826,-2.4660751352205876,0
2006,1,02340/06,6.166132519349477,-3.3454581988175103,0
2006,1,02509/06,5.283229694476306,-2.5616221330578535,0
2007,1,01479/07,4.549948263360955,-3.2827368192288064,0
2008,1,H08-315,4.5493594440735965,-2.20591003192614,1
2008,1,L08-522,4.676612195331902,-2.108333005593628,1
2008,1,31051/08,4.481642616073472,-2.613127956399243,1
2008,1,31027/08,4.728762144239938,-2.0665958717584023,1
2008,1,L08-311,5.042595018208662,-2.385701334387117,1
2009,1,30718/09,4.736579628610954,-2.4474362181933493,1
2009,1,30541/09,5.521264238596723,-3.2269056261114435,1
2009,1,30520/09,5.242385756405493,-2.670224711093721,1
2009,1,30374/09,4.481642616073472,-2.613127956399243,1
2009,1,30333/09,4.728762144239938,-2.0665958717584023,1
2009,1,L09-085,5.042595018208662,-2.385701334387117,1
2009,1,30207/09,4.676612195331902,-2.108333005593628,1
2010,1,00792/10,5.853544616001428,-3.36158135819279,0
2010,1,01327/10,5.88321712645585,-3.303986279972909,0
2010,1,01510/10,5.190837423804297,-2.2115997417186968,0
2010,1,01518/10,5.938773623400688,-2.949559189550675,0
2011,1,00330/11,5.293934089006691,-3.1288496804687456,0
2011,1,00577/11,5.882766033592657,-2.9518186006490716,0
2011,1,01392/11,6.089360586136294,-3.3268867414353145,0
2011,1,01450/11,5.846102859537504,-3.3683227099919835,0
2012,1,00511/12,5.5237962322300485,-2.7303520475239873,0
2012,1,00777/12,5.12541342123176,-2.4280334689151357,0
