yr,sero,strainID,coord1,coord2,coord3,is_missAG
1994,1,00532/94,-4.800267080921467,-0.7957417233542167,0.6862842537207773,0
1994,1,00817/94,-4.766770147227633,-1.505621218595518,-0.10449691837611837,0
1994,1,01495/94,-4.267501131509736,-1.3341627666848603,-0.17622240229546393,0
1995,1,00229/95,-3.277052777731588,-0.01003201081680004,1.186140168437643,0
1995,1,00257/95,-3.262130098672235,-0.1745868184250063,1.3142223743779202,0
1995,1,00288/95,-3.288718085560758,0.4441176427170349,1.5013401944129796,0
1995,1,00410/95,-3.8114831550056367,0.8690398516306514,1.6942285879698886,0
1996,1,00942/96,-5.296261365996861,-1.4435584238924273,0.5384617475376545,0
1996,1,01231/96,-3.3458815593660787,-1.194835944519401,-0.1271673350273185,0
1997,1,00382/97,-3.085292980498579,-0.4587153396654354,0.1993433330340743,0
1997,1,02080/97,-4.365836745166603,-0.14952181933602676,0.3759864331468912,0
1997,1,02588/97,-4.366333758393097,-0.8280092357705107,-0.3976135110102452,0
1997,1,04772/97,-3.373787560311952,-0.3354375609007188,-0.12999825567064094,0
1998,1,00141/98,-4.396351253506005,-0.96244429267396,1.38234444800729,0
1998,1,00422/98,-3.4105736278606793,0.39876598819930126,1.1702260572502965,0
1998,1,02128/98,-2.1202688689257414,0.41615575123215937,0.674564597670814,0
1998,1,06810/98,-5.308456467788452,-1.2457534060951732,0.6444741067038235,0
1998,1,06870/98,-1.5878836152891926,0.6231322298266667,0.01705458277951043,0
1999,1,00380/99,-3.672168190260717,-0.8302796233458452,0.27751917828567846,0
1999,1,00692/99,-3.462306166263519,-0.489877967753499,-0.33269078878423164,0
1999,1,03739/99,-5.279562965113974,-1.4884125079786668,0.5610505142462617,0
2000,1,01236/00,-3.1401227158551923,0.7274066242313326,1.539528116205949,0
2000,1,01349/00,-3.607400217210399,-0.48353226980590064,0.9563957697845846,0
2000,1,02059/00,-3.5667848595014777,-0.43100437667300073,0.6803993600953043,0
2000,1,05580/00,-3.580256418643848,0.6913389948536991,1.239651761732417,0
2000,1,05899/00,-2.6562533581570698,0.3039724217537727,0.799128275796981,0
2001,1,00355/01,-2.818795979536483,-1.2552243448914815,0.9643423866450944,0
2001,1,02633/01,-3.0393345781113403,0.83336853431618,1.2790646382407125,0
2001,1,04601/01,-3.234556637011639,0.27599989329111857,0.924993894193444,0
2001,1,04774/01,-5.931227661498002,-0.6499768220310607,1.080373496546804,0
2002,1,00644/02,-2.312461903545255,-0.02720354823437514,0.44399069294495647,0
2002,1,00731/02,-2.503384357796477,0.296831566871712,0.7792543761758842,0
2002,1,01459/02,-3.15699463822785,1.151926107530754,1.207100166757334,0
2002,1,03030/02,-4.136941231599689,-1.053557830830832,1.0670561610369311,0
2003,1,02371/03,-3.5095475612036164,-1.2636228819904891,0.9865801229261354,1
2003,1,30786/03,-4.375011820517242,-0.9526005834612711,1.0223579415959492,1
2003,1,02150/03,-3.19585072600558,-1.3686554075703175,0.9463421038707376,1
2003,1,30720/03,-4.58289214925482,-0.18698846436997105,1.002683695370124,1
2003,1,30683/03,-5.079966313666699,0.13193747575788328,1.3601400868336075,1
2003,1,01203/03,-3.32360473267395,-1.150532266339868,0.8382952133620817,1
2003,1,N03-061,-3.320162794698083,-0.37836313197955995,0.9231552686064077,1
2003,1,00596/03,-2.9437340373343237,-0.4132588267270047,0.9695221944784876,1
2004,1,00068/04,-2.510268233748211,-1.2475067018489043,0.6095342656872322,0
2004,1,00088/04,-4.544543035578416,-2.3073373444371787,0.11108852985841722,0
2004,1,00477/04,-3.5908136033438183,-0.4537193336822136,1.1178793246971448,0
2004,1,00479/04,-3.73391837023753,0.19050586444781145,0.750612075796217,0
2004,1,00725/04,-3.3771998409204365,0.4209890483948949,1.329510123269743,0
2004,1,00758/04,-3.881433218262949,-1.4898041132917308,1.283149942054243,0
2004,1,00975/04,-4.73936834438444,-1.4999069193828267,0.4599127124146314,0
2004,1,01420/04,-4.228704965835395,0.9138517735468272,1.6399066771204112,0
2004,1,01604/04,-4.127243519860057,-0.8892480111148888,-0.0813385152367386,0
2005,1,00743/05,-4.759870120444707,-0.6664739134546351,0.14157781747285175,0
2005,1,00744/05,-3.223242111653542,-0.823736341557135,-0.10810046467511934,0
2005,1,01040/05,-4.254196032512308,-0.8312450682946413,0.5868994356172648,0
2006,1,00007/06,-2.8281573781402103,-0.5385913809382127,0.7210293537793344,0
2006,1,00113/06,-4.722886456132759,-0.5956139963848378,0.5403492486434334,0
2006,1,00369/06,-3.7924925467036497,-0.0033385396778117,-0.00767448824158547,0
2006,1,00371/06,-4.857821591272267,-0.7856794667797685,0.7971864301926583,0
2006,1,00411/06,-2.7355493511389657,-1.5235463264966598,0.2097396349920773,0
2006,1,00418/06,-3.2599565096619045,0.25602539314708733,1.4118840454183796,0
2006,1,00482/06,-4.0325822138818666,-0.5814758299390343,0.7796925430032552,0
2006,1,00555/06,-3.5351761939693978,-0.8617200416077909,0.8826850460351913,0
2006,1,01001/06,-3.312808002334686,-0.15393916474196043,0.7164791589680559,0
2006,1,01038/06,-2.353924869913565,-0.01898355914229082,0.816621171735234,0
2006,1,01170/06,-4.089186857759358,-0.8201086788959705,-0.0927494462276883,0
2006,1,01332/06,-3.675975391077608,-0.25994634790302473,1.2916571451859518,0
2006,1,01448/06,-4.329303101552365,-1.5127476580268986,0.8549194781702099,0
2006,1,01831/06,-3.4056748674847293,1.082232118494853,1.547197922951664,0
2006,1,01932/06,-5.43205860569256,-1.009364351749892,0.6292581064918529,0
